Player,Team,Pos,season,target,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25
Brendan Haywood,2TM,C,2010,0,10.044734,5.597308,6.9640937,9.698338,2.0997698,9.215071,5.115156,2.535781,3.6850538,4.1458864,3.6907246,5.8860817,5.52222,6.842113,6.02259,4.256404,9.326946,4.999384,6.646109,2.6601174,5.6855316,5.9182014,4.8414435,5.610463,4.0999312
Brian Cardinal,MIN,PF,2010,0,10.175245,5.9554796,9.178351,9.713211,2.1388526,10.473631,3.6378753,3.3759215,4.050224,4.101963,3.115594,5.5375195,5.6905484,6.5958095,5.975421,4.118325,9.3465605,5.2804995,6.756131,2.526441,5.6981893,5.9686065,4.639078,5.527753,4.040606
Brian Cook,HOU,PF,2010,0,10.155873,5.9379463,9.953712,9.6161785,2.0813904,10.778862,4.601413,3.4050677,2.7713723,4.363426,2.9471586,5.4893284,5.5554223,6.492441,5.8847365,4.121555,9.2780285,5.274593,6.6498475,2.5266867,5.667705,5.998965,4.5671425,5.5435,4.0741005
Brian Scalabrine,BOS,PF,2010,0,10.053039,5.792946,9.001862,9.704807,2.156715,10.596001,3.5780149,3.467544,2.1943586,4.697648,2.9749088,5.4898376,5.5814013,6.4585776,5.7927547,4.2094703,9.2549715,5.206582,6.5701647,2.4769902,5.7111497,6.020703,4.5563407,5.556608,4.0720863
Brian Skinner,LAC,PF,2010,0,10.169293,5.918526,9.479476,9.608573,2.0863662,9.985084,4.624426,3.353423,3.3968265,4.112987,3.17023,5.561192,5.5445976,6.584407,5.951218,4.0903587,9.319639,5.1830616,6.6871963,2.5812116,5.693315,5.9694505,4.703177,5.565703,4.0735755
Brook Lopez,NJN,C,2010,0,10.036218,5.592676,6.6102533,9.743848,2.1280055,9.273824,4.637466,2.5208297,4.1600213,4.082072,3.713065,5.892799,5.579348,6.862101,6.056738,4.259392,9.352136,5.0123663,6.681754,2.6559637,5.695102,5.9049907,4.8505163,5.5979195,4.08496
Byron Mullens,OKC,PF,2010,0,10.108635,5.9138675,10.164797,9.591267,2.0898395,10.956285,4.5702887,3.5061698,2.583018,4.4090495,2.7926536,5.4378533,5.501071,6.404606,5.9068727,4.090024,9.289636,5.235957,6.612131,2.5565758,5.675041,5.975695,4.587858,5.5358353,4.074174
C.J. Miles,UTA,SF,2010,0,9.943955,5.625258,7.7619295,9.782696,2.2098181,10.532989,3.0823436,3.2415464,2.3514197,4.8038006,3.0567555,5.5713296,5.5933757,6.490134,5.8364196,4.27741,9.278957,5.117271,6.533921,2.5058107,5.7299876,5.9801574,4.6103725,5.5572762,4.0677085
C.J. Watson,GSW,PG,2010,0,10.047128,5.7564635,7.9560432,9.78889,2.1923947,10.433423,3.10154,3.1950364,3.568699,4.4044633,3.1696813,5.603142,5.6798553,6.5950184,5.9391723,4.2205954,9.331824,5.1863422,6.6668086,2.5227308,5.719151,5.9591956,4.650084,5.541077,4.047107
Carl Landry,2TM,PF,2010,0,10.005873,5.5541778,6.3425603,9.772345,2.1486409,9.31397,4.3712606,2.5244913,3.9620008,4.2052307,3.6900494,5.887238,5.591803,6.843115,6.0308743,4.2889752,9.343184,5.0087,6.658093,2.6376991,5.701968,5.910653,4.827614,5.595955,4.0833583
Carlos Arroyo,MIA,PG,2010,0,9.996138,5.6996636,7.9291167,9.804135,2.2073605,10.652334,2.9406588,3.2565877,2.7687087,4.695018,3.0745163,5.565034,5.662732,6.5256453,5.8493586,4.2683916,9.288133,5.1909623,6.596724,2.4795167,5.7208247,5.9904566,4.578147,5.5432205,4.055183
Carlos Boozer,UTA,PF,2010,0,9.986612,5.5069823,6.0305843,9.787697,2.157863,9.225332,4.331036,2.4481876,3.9303002,4.2335777,3.7555645,5.9229493,5.5883975,6.867429,6.0306673,4.3136864,9.342417,4.976225,6.643913,2.644384,5.7079034,5.904771,4.8448305,5.6028314,4.0864863
Carlos Delfino,MIL,SF,2010,0,9.963758,5.587479,6.7832975,9.873853,2.21764,10.5894575,2.982973,2.8615415,2.985641,4.7425365,3.2945104,5.70444,5.7073207,6.6525846,5.8643847,4.364524,9.28299,5.172259,6.600949,2.479277,5.707942,5.982148,4.58125,5.5511947,4.059787
Carmelo Anthony,DEN,SF,2010,2,9.93038,5.44415,5.001272,9.974529,2.2456973,10.237646,2.886051,2.3147025,4.0043073,4.5794907,3.6665735,5.9196754,5.7848983,6.8644986,5.9795876,4.453365,9.32662,5.110785,6.659545,2.527698,5.7056355,5.926542,4.6653895,5.5526066,4.053901
